season,season_url,competition,competition_url,squads,champ,top_scorer,top_scorer_url,league,country,gender
2025-2026,https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats,14,,Selina Cerci - 6,https://fbref.com/en/players/1fa80966/Selina-Cerci,Women's Super League,England,F
2024-2025,https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats,12,,Lineth Beerensteyn - 17,https://fbref.com/en/players/40ecae9f/Lineth-Beerensteyn,Women's Super League,England,F
2023-2024,https://fbref.com/en/comps/183/2023-2024/2023-2024-Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/2023-2024/2023-2024-Frauen-Bundesliga-Stats,12,,Ewa Pajor - 18,https://fbref.com/en/players/d47a1efd/Ewa-Pajor,Women's Super League,England,F
2022-2023,https://fbref.com/en/comps/183/2022-2023/2022-2023-Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/2022-2023/2022-2023-Frauen-Bundesliga-Stats,12,,Alexandra Popp - 16,https://fbref.com/en/players/655e7bd0/Alexandra-Popp,Women's Super League,England,F
2021-2022,https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/2021-2022/2021-2022-Frauen-Bundesliga-Stats,12,,Lea Schüller - 16,https://fbref.com/en/players/4528b262/Lea-Schuller,Women's Super League,England,F
2020-2021,https://fbref.com/en/comps/183/2020-2021/2020-2021-Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/2020-2021/2020-2021-Frauen-Bundesliga-Stats,12,,Nicole Billa - 23,https://fbref.com/en/players/f8d26c9a/Nicole-Billa,Women's Super League,England,F
2019-2020,https://fbref.com/en/comps/183/2019-2020/2019-2020-Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/2019-2020/2019-2020-Frauen-Bundesliga-Stats,12,,Pernille Harder - 27,https://fbref.com/en/players/363b99a4/Pernille-Harder,Women's Super League,England,F
2018-2019,https://fbref.com/en/comps/183/2018-2019/2018-2019-Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/2018-2019/2018-2019-Frauen-Bundesliga-Stats,12,,Ewa Pajor - 24,https://fbref.com/en/players/d47a1efd/Ewa-Pajor,Women's Super League,England,F
2017-2018,https://fbref.com/en/comps/183/2017-2018/2017-2018-Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/2017-2018/2017-2018-Frauen-Bundesliga-Stats,12,,Pernille Harder - 17,https://fbref.com/en/players/363b99a4/Pernille-Harder,Women's Super League,England,F
2016-2017,https://fbref.com/en/comps/183/2016-2017/2016-2017-Frauen-Bundesliga-Stats,Frauen-Bundesliga,https://fbref.com/en/comps/183/2016-2017/2016-2017-Frauen-Bundesliga-Stats,12,,Mandy Islacker - 19,https://fbref.com/en/players/df7c948b/Mandy-Islacker,Women's Super League,England,F