season,fixtures_count,status,fixtures_url
2025-2026,182,success,"https://fbref.com/en/comps/183/schedule/Frauen Bundesliga-Scores-and-Fixtures"
2024-2025,132,success,"https://fbref.com/en/comps/183/2024-2025/schedule/2024-2025-Frauen Bundesliga-Scores-and-Fixtures"
2023-2024,0,no_data,"https://fbref.com/en/comps/183/2023-2024/schedule/2023-2024-Frauen Bundesliga-Scores-and-Fixtures"
2022-2023,132,success,"https://fbref.com/en/comps/183/2022-2023/schedule/2022-2023-Frauen Bundesliga-Scores-and-Fixtures"
2021-2022,132,success,"https://fbref.com/en/comps/183/2021-2022/schedule/2021-2022-Frauen Bundesliga-Scores-and-Fixtures"
2020-2021,132,success,"https://fbref.com/en/comps/183/2020-2021/schedule/2020-2021-Frauen Bundesliga-Scores-and-Fixtures"
2019-2020,132,success,"https://fbref.com/en/comps/183/2019-2020/schedule/2019-2020-Frauen Bundesliga-Scores-and-Fixtures"
2018-2019,0,no_data,"https://fbref.com/en/comps/183/2018-2019/schedule/2018-2019-Frauen Bundesliga-Scores-and-Fixtures"
2017-2018,132,success,"https://fbref.com/en/comps/183/2017-2018/schedule/2017-2018-Frauen Bundesliga-Scores-and-Fixtures"
2016-2017,132,success,"https://fbref.com/en/comps/183/2016-2017/schedule/2016-2017-Frauen Bundesliga-Scores-and-Fixtures"