season,season_url,competition,competition_url,squads,champ,top_scorer,top_scorer_url,league,gender
2025-2026,https://fbref.com/en/comps/9/Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/Premier-League-Stats,20,,Erling Haaland - 11,https://fbref.com/en/players/1f44ac21/Erling-Haaland,9,F
2024-2025,https://fbref.com/en/comps/9/2024-2025/2024-2025-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2024-2025/2024-2025-Premier-League-Stats,20,,Mohamed Salah - 29,https://fbref.com/en/players/e342ad68/Mohamed-Salah,9,F
2023-2024,https://fbref.com/en/comps/9/2023-2024/2023-2024-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2023-2024/2023-2024-Premier-League-Stats,20,,Erling Haaland - 27,https://fbref.com/en/players/1f44ac21/Erling-Haaland,9,F
2022-2023,https://fbref.com/en/comps/9/2022-2023/2022-2023-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2022-2023/2022-2023-Premier-League-Stats,20,,Erling Haaland - 36,https://fbref.com/en/players/1f44ac21/Erling-Haaland,9,F
2021-2022,https://fbref.com/en/comps/9/2021-2022/2021-2022-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2021-2022/2021-2022-Premier-League-Stats,20,,"Son Heung-min, Mohamed Salah - 23",https://fbref.com/en/players/92e7e919/Son-Heung-min,9,F
2020-2021,https://fbref.com/en/comps/9/2020-2021/2020-2021-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2020-2021/2020-2021-Premier-League-Stats,20,,Harry Kane - 23,https://fbref.com/en/players/21a66f6a/Harry-Kane,9,F
2019-2020,https://fbref.com/en/comps/9/2019-2020/2019-2020-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2019-2020/2019-2020-Premier-League-Stats,20,,Jamie Vardy - 23,https://fbref.com/en/players/45963054/Jamie-Vardy,9,F
2018-2019,https://fbref.com/en/comps/9/2018-2019/2018-2019-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2018-2019/2018-2019-Premier-League-Stats,20,,"Pierre-Emerick Aubameyang, Sadio Mané... - 22",https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,9,F
2017-2018,https://fbref.com/en/comps/9/2017-2018/2017-2018-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2017-2018/2017-2018-Premier-League-Stats,20,,Mohamed Salah - 32,https://fbref.com/en/players/e342ad68/Mohamed-Salah,9,F
2016-2017,https://fbref.com/en/comps/9/2016-2017/2016-2017-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2016-2017/2016-2017-Premier-League-Stats,20,,Harry Kane - 29,https://fbref.com/en/players/21a66f6a/Harry-Kane,9,F
2015-2016,https://fbref.com/en/comps/9/2015-2016/2015-2016-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2015-2016/2015-2016-Premier-League-Stats,20,,Harry Kane - 25,https://fbref.com/en/players/21a66f6a/Harry-Kane,9,F
2014-2015,https://fbref.com/en/comps/9/2014-2015/2014-2015-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2014-2015/2014-2015-Premier-League-Stats,20,,Sergio Agüero - 26,https://fbref.com/en/players/4d034881/Sergio-Aguero,9,F
2013-2014,https://fbref.com/en/comps/9/2013-2014/2013-2014-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2013-2014/2013-2014-Premier-League-Stats,20,,Luis Suárez - 31,https://fbref.com/en/players/a6154613/Luis-Suarez,9,F
2012-2013,https://fbref.com/en/comps/9/2012-2013/2012-2013-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2012-2013/2012-2013-Premier-League-Stats,20,,Robin van Persie - 26,https://fbref.com/en/players/3fcab3a8/Robin-van-Persie,9,F
2011-2012,https://fbref.com/en/comps/9/2011-2012/2011-2012-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2011-2012/2011-2012-Premier-League-Stats,20,,Robin van Persie - 30,https://fbref.com/en/players/3fcab3a8/Robin-van-Persie,9,F
2010-2011,https://fbref.com/en/comps/9/2010-2011/2010-2011-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2010-2011/2010-2011-Premier-League-Stats,20,,"Dimitar Berbatov, Carlos Tevez - 20",https://fbref.com/en/players/f5781978/Dimitar-Berbatov,9,F
2009-2010,https://fbref.com/en/comps/9/2009-2010/2009-2010-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2009-2010/2009-2010-Premier-League-Stats,20,,Didier Drogba - 29,https://fbref.com/en/players/945dea33/Didier-Drogba,9,F
2008-2009,https://fbref.com/en/comps/9/2008-2009/2008-2009-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2008-2009/2008-2009-Premier-League-Stats,20,,Nicolas Anelka - 19,https://fbref.com/en/players/931ed5e9/Nicolas-Anelka,9,F
2007-2008,https://fbref.com/en/comps/9/2007-2008/2007-2008-Premier-League-Stats,Premier League,https://fbref.com/en/comps/9/2007-2008/2007-2008-Premier-League-Stats,20,,Cristiano Ronaldo - 31,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo,9,F
2006-2007,https://fbref.com/en/comps/9/2006-2007/2006-2007-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/2006-2007/2006-2007-Premier-League-Stats,20,,Didier Drogba - 20,https://fbref.com/en/players/945dea33/Didier-Drogba,9,F
2005-2006,https://fbref.com/en/comps/9/2005-2006/2005-2006-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/2005-2006/2005-2006-Premier-League-Stats,20,,Thierry Henry - 27,https://fbref.com/en/players/c0c5ee74/Thierry-Henry,9,F
2004-2005,https://fbref.com/en/comps/9/2004-2005/2004-2005-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/2004-2005/2004-2005-Premier-League-Stats,20,,Thierry Henry - 25,https://fbref.com/en/players/c0c5ee74/Thierry-Henry,9,F
2003-2004,https://fbref.com/en/comps/9/2003-2004/2003-2004-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/2003-2004/2003-2004-Premier-League-Stats,20,,Thierry Henry - 30,https://fbref.com/en/players/c0c5ee74/Thierry-Henry,9,F
2002-2003,https://fbref.com/en/comps/9/2002-2003/2002-2003-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/2002-2003/2002-2003-Premier-League-Stats,20,,Ruud van Nistelrooy - 25,https://fbref.com/en/players/80a30989/Ruud-van-Nistelrooy,9,F
2001-2002,https://fbref.com/en/comps/9/2001-2002/2001-2002-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/2001-2002/2001-2002-Premier-League-Stats,20,,Thierry Henry - 24,https://fbref.com/en/players/c0c5ee74/Thierry-Henry,9,F
2000-2001,https://fbref.com/en/comps/9/2000-2001/2000-2001-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/2000-2001/2000-2001-Premier-League-Stats,20,,Jimmy Floyd Hasselbaink - 23,https://fbref.com/en/players/db8a04d1/Jimmy-Floyd-Hasselbaink,9,F
1999-2000,https://fbref.com/en/comps/9/1999-2000/1999-2000-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/1999-2000/1999-2000-Premier-League-Stats,20,,Kevin Phillips - 30,https://fbref.com/en/players/23d97ca1/Kevin-Phillips,9,F
1998-1999,https://fbref.com/en/comps/9/1998-1999/1998-1999-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/1998-1999/1998-1999-Premier-League-Stats,20,,"Dwight Yorke, Jimmy Floyd Hasselbaink... - 18",https://fbref.com/en/players/2d0a99d3/Dwight-Yorke,9,F
1997-1998,https://fbref.com/en/comps/9/1997-1998/1997-1998-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/1997-1998/1997-1998-Premier-League-Stats,20,,"Michael Owen, Chris Sutton... - 18",https://fbref.com/en/players/88b3f52c/Michael-Owen,9,F
1996-1997,https://fbref.com/en/comps/9/1996-1997/1996-1997-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/1996-1997/1996-1997-Premier-League-Stats,20,,Alan Shearer - 25,https://fbref.com/en/players/438b3a51/Alan-Shearer,9,F
1995-1996,https://fbref.com/en/comps/9/1995-1996/1995-1996-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/1995-1996/1995-1996-Premier-League-Stats,20,,Alan Shearer - 31,https://fbref.com/en/players/438b3a51/Alan-Shearer,9,F
1994-1995,https://fbref.com/en/comps/9/1994-1995/1994-1995-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/1994-1995/1994-1995-Premier-League-Stats,22,,Alan Shearer - 34,https://fbref.com/en/players/438b3a51/Alan-Shearer,9,F
1993-1994,https://fbref.com/en/comps/9/1993-1994/1993-1994-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/1993-1994/1993-1994-Premier-League-Stats,22,,Andy Cole - 34,https://fbref.com/en/players/b6638a2c/Andy-Cole,9,F
1992-1993,https://fbref.com/en/comps/9/1992-1993/1992-1993-Premier-League-Stats,FA Premier League,https://fbref.com/en/comps/9/1992-1993/1992-1993-Premier-League-Stats,22,,Teddy Sheringham - 22,https://fbref.com/en/players/4e56eef6/Teddy-Sheringham,9,F
1991-1992,https://fbref.com/en/comps/9/1991-1992/1991-1992-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1991-1992/1991-1992-Premier-League-Stats,22,,,,9,F
1990-1991,https://fbref.com/en/comps/9/1990-1991/1990-1991-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1990-1991/1990-1991-Premier-League-Stats,20,,,,9,F
1989-1990,https://fbref.com/en/comps/9/1989-1990/1989-1990-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1989-1990/1989-1990-Premier-League-Stats,20,,,,9,F
1988-1989,https://fbref.com/en/comps/9/1988-1989/1988-1989-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1988-1989/1988-1989-Premier-League-Stats,20,,,,9,F
1987-1988,https://fbref.com/en/comps/9/1987-1988/1987-1988-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1987-1988/1987-1988-Premier-League-Stats,21,,,,9,F
1986-1987,https://fbref.com/en/comps/9/1986-1987/1986-1987-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1986-1987/1986-1987-Premier-League-Stats,22,,,,9,F
1985-1986,https://fbref.com/en/comps/9/1985-1986/1985-1986-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1985-1986/1985-1986-Premier-League-Stats,22,,,,9,F
1984-1985,https://fbref.com/en/comps/9/1984-1985/1984-1985-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1984-1985/1984-1985-Premier-League-Stats,22,,,,9,F
1983-1984,https://fbref.com/en/comps/9/1983-1984/1983-1984-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1983-1984/1983-1984-Premier-League-Stats,22,,,,9,F
1982-1983,https://fbref.com/en/comps/9/1982-1983/1982-1983-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1982-1983/1982-1983-Premier-League-Stats,22,,,,9,F
1981-1982,https://fbref.com/en/comps/9/1981-1982/1981-1982-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1981-1982/1981-1982-Premier-League-Stats,22,,,,9,F
1980-1981,https://fbref.com/en/comps/9/1980-1981/1980-1981-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1980-1981/1980-1981-Premier-League-Stats,22,,,,9,F
1979-1980,https://fbref.com/en/comps/9/1979-1980/1979-1980-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1979-1980/1979-1980-Premier-League-Stats,22,,,,9,F
1978-1979,https://fbref.com/en/comps/9/1978-1979/1978-1979-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1978-1979/1978-1979-Premier-League-Stats,22,,,,9,F
1977-1978,https://fbref.com/en/comps/9/1977-1978/1977-1978-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1977-1978/1977-1978-Premier-League-Stats,22,,,,9,F
1976-1977,https://fbref.com/en/comps/9/1976-1977/1976-1977-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1976-1977/1976-1977-Premier-League-Stats,22,,,,9,F
1975-1976,https://fbref.com/en/comps/9/1975-1976/1975-1976-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1975-1976/1975-1976-Premier-League-Stats,22,,,,9,F
1974-1975,https://fbref.com/en/comps/9/1974-1975/1974-1975-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1974-1975/1974-1975-Premier-League-Stats,22,,,,9,F
1973-1974,https://fbref.com/en/comps/9/1973-1974/1973-1974-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1973-1974/1973-1974-Premier-League-Stats,22,,,,9,F
1972-1973,https://fbref.com/en/comps/9/1972-1973/1972-1973-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1972-1973/1972-1973-Premier-League-Stats,22,,,,9,F
1971-1972,https://fbref.com/en/comps/9/1971-1972/1971-1972-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1971-1972/1971-1972-Premier-League-Stats,22,,,,9,F
1970-1971,https://fbref.com/en/comps/9/1970-1971/1970-1971-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1970-1971/1970-1971-Premier-League-Stats,22,,,,9,F
1969-1970,https://fbref.com/en/comps/9/1969-1970/1969-1970-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1969-1970/1969-1970-Premier-League-Stats,22,,,,9,F
1968-1969,https://fbref.com/en/comps/9/1968-1969/1968-1969-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1968-1969/1968-1969-Premier-League-Stats,22,,,,9,F
1967-1968,https://fbref.com/en/comps/9/1967-1968/1967-1968-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1967-1968/1967-1968-Premier-League-Stats,22,,,,9,F
1966-1967,https://fbref.com/en/comps/9/1966-1967/1966-1967-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1966-1967/1966-1967-Premier-League-Stats,22,,,,9,F
1965-1966,https://fbref.com/en/comps/9/1965-1966/1965-1966-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1965-1966/1965-1966-Premier-League-Stats,22,,,,9,F
1964-1965,https://fbref.com/en/comps/9/1964-1965/1964-1965-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1964-1965/1964-1965-Premier-League-Stats,22,,,,9,F
1963-1964,https://fbref.com/en/comps/9/1963-1964/1963-1964-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1963-1964/1963-1964-Premier-League-Stats,22,,,,9,F
1962-1963,https://fbref.com/en/comps/9/1962-1963/1962-1963-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1962-1963/1962-1963-Premier-League-Stats,22,,,,9,F
1961-1962,https://fbref.com/en/comps/9/1961-1962/1961-1962-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1961-1962/1961-1962-Premier-League-Stats,22,,,,9,F
1960-1961,https://fbref.com/en/comps/9/1960-1961/1960-1961-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1960-1961/1960-1961-Premier-League-Stats,22,,,,9,F
1959-1960,https://fbref.com/en/comps/9/1959-1960/1959-1960-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1959-1960/1959-1960-Premier-League-Stats,22,,,,9,F
1958-1959,https://fbref.com/en/comps/9/1958-1959/1958-1959-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1958-1959/1958-1959-Premier-League-Stats,22,,,,9,F
1957-1958,https://fbref.com/en/comps/9/1957-1958/1957-1958-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1957-1958/1957-1958-Premier-League-Stats,22,,,,9,F
1956-1957,https://fbref.com/en/comps/9/1956-1957/1956-1957-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1956-1957/1956-1957-Premier-League-Stats,22,,,,9,F
1955-1956,https://fbref.com/en/comps/9/1955-1956/1955-1956-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1955-1956/1955-1956-Premier-League-Stats,22,,,,9,F
1954-1955,https://fbref.com/en/comps/9/1954-1955/1954-1955-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1954-1955/1954-1955-Premier-League-Stats,22,,,,9,F
1953-1954,https://fbref.com/en/comps/9/1953-1954/1953-1954-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1953-1954/1953-1954-Premier-League-Stats,22,,,,9,F
1952-1953,https://fbref.com/en/comps/9/1952-1953/1952-1953-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1952-1953/1952-1953-Premier-League-Stats,22,,,,9,F
1951-1952,https://fbref.com/en/comps/9/1951-1952/1951-1952-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1951-1952/1951-1952-Premier-League-Stats,22,,,,9,F
1950-1951,https://fbref.com/en/comps/9/1950-1951/1950-1951-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1950-1951/1950-1951-Premier-League-Stats,22,,,,9,F
1949-1950,https://fbref.com/en/comps/9/1949-1950/1949-1950-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1949-1950/1949-1950-Premier-League-Stats,22,,,,9,F
1948-1949,https://fbref.com/en/comps/9/1948-1949/1948-1949-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1948-1949/1948-1949-Premier-League-Stats,22,,,,9,F
1947-1948,https://fbref.com/en/comps/9/1947-1948/1947-1948-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1947-1948/1947-1948-Premier-League-Stats,22,,,,9,F
1946-1947,https://fbref.com/en/comps/9/1946-1947/1946-1947-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1946-1947/1946-1947-Premier-League-Stats,22,,,,9,F
1938-1939,https://fbref.com/en/comps/9/1938-1939/1938-1939-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1938-1939/1938-1939-Premier-League-Stats,22,,,,9,F
1937-1938,https://fbref.com/en/comps/9/1937-1938/1937-1938-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1937-1938/1937-1938-Premier-League-Stats,22,,,,9,F
1936-1937,https://fbref.com/en/comps/9/1936-1937/1936-1937-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1936-1937/1936-1937-Premier-League-Stats,22,,,,9,F
1935-1936,https://fbref.com/en/comps/9/1935-1936/1935-1936-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1935-1936/1935-1936-Premier-League-Stats,22,,,,9,F
1934-1935,https://fbref.com/en/comps/9/1934-1935/1934-1935-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1934-1935/1934-1935-Premier-League-Stats,22,,,,9,F
1933-1934,https://fbref.com/en/comps/9/1933-1934/1933-1934-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1933-1934/1933-1934-Premier-League-Stats,22,,,,9,F
1932-1933,https://fbref.com/en/comps/9/1932-1933/1932-1933-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1932-1933/1932-1933-Premier-League-Stats,22,,,,9,F
1931-1932,https://fbref.com/en/comps/9/1931-1932/1931-1932-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1931-1932/1931-1932-Premier-League-Stats,22,,,,9,F
1930-1931,https://fbref.com/en/comps/9/1930-1931/1930-1931-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1930-1931/1930-1931-Premier-League-Stats,22,,,,9,F
1929-1930,https://fbref.com/en/comps/9/1929-1930/1929-1930-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1929-1930/1929-1930-Premier-League-Stats,22,,,,9,F
1928-1929,https://fbref.com/en/comps/9/1928-1929/1928-1929-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1928-1929/1928-1929-Premier-League-Stats,22,,,,9,F
1927-1928,https://fbref.com/en/comps/9/1927-1928/1927-1928-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1927-1928/1927-1928-Premier-League-Stats,22,,,,9,F
1926-1927,https://fbref.com/en/comps/9/1926-1927/1926-1927-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1926-1927/1926-1927-Premier-League-Stats,22,,,,9,F
1925-1926,https://fbref.com/en/comps/9/1925-1926/1925-1926-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1925-1926/1925-1926-Premier-League-Stats,22,,,,9,F
1924-1925,https://fbref.com/en/comps/9/1924-1925/1924-1925-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1924-1925/1924-1925-Premier-League-Stats,22,,,,9,F
1923-1924,https://fbref.com/en/comps/9/1923-1924/1923-1924-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1923-1924/1923-1924-Premier-League-Stats,22,,,,9,F
1922-1923,https://fbref.com/en/comps/9/1922-1923/1922-1923-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1922-1923/1922-1923-Premier-League-Stats,22,,,,9,F
1921-1922,https://fbref.com/en/comps/9/1921-1922/1921-1922-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1921-1922/1921-1922-Premier-League-Stats,22,,,,9,F
1920-1921,https://fbref.com/en/comps/9/1920-1921/1920-1921-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1920-1921/1920-1921-Premier-League-Stats,22,,,,9,F
1919-1920,https://fbref.com/en/comps/9/1919-1920/1919-1920-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1919-1920/1919-1920-Premier-League-Stats,22,,,,9,F
1914-1915,https://fbref.com/en/comps/9/1914-1915/1914-1915-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1914-1915/1914-1915-Premier-League-Stats,20,,,,9,F
1913-1914,https://fbref.com/en/comps/9/1913-1914/1913-1914-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1913-1914/1913-1914-Premier-League-Stats,20,,,,9,F
1912-1913,https://fbref.com/en/comps/9/1912-1913/1912-1913-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1912-1913/1912-1913-Premier-League-Stats,20,,,,9,F
1911-1912,https://fbref.com/en/comps/9/1911-1912/1911-1912-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1911-1912/1911-1912-Premier-League-Stats,20,,,,9,F
1910-1911,https://fbref.com/en/comps/9/1910-1911/1910-1911-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1910-1911/1910-1911-Premier-League-Stats,20,,,,9,F
1909-1910,https://fbref.com/en/comps/9/1909-1910/1909-1910-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1909-1910/1909-1910-Premier-League-Stats,20,,,,9,F
1908-1909,https://fbref.com/en/comps/9/1908-1909/1908-1909-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1908-1909/1908-1909-Premier-League-Stats,20,,,,9,F
1907-1908,https://fbref.com/en/comps/9/1907-1908/1907-1908-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1907-1908/1907-1908-Premier-League-Stats,20,,,,9,F
1906-1907,https://fbref.com/en/comps/9/1906-1907/1906-1907-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1906-1907/1906-1907-Premier-League-Stats,20,,,,9,F
1905-1906,https://fbref.com/en/comps/9/1905-1906/1905-1906-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1905-1906/1905-1906-Premier-League-Stats,20,,,,9,F
1904-1905,https://fbref.com/en/comps/9/1904-1905/1904-1905-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1904-1905/1904-1905-Premier-League-Stats,18,,,,9,F
1903-1904,https://fbref.com/en/comps/9/1903-1904/1903-1904-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1903-1904/1903-1904-Premier-League-Stats,18,,,,9,F
1902-1903,https://fbref.com/en/comps/9/1902-1903/1902-1903-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1902-1903/1902-1903-Premier-League-Stats,18,,,,9,F
1901-1902,https://fbref.com/en/comps/9/1901-1902/1901-1902-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1901-1902/1901-1902-Premier-League-Stats,18,,,,9,F
1900-1901,https://fbref.com/en/comps/9/1900-1901/1900-1901-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1900-1901/1900-1901-Premier-League-Stats,18,,,,9,F
1899-1900,https://fbref.com/en/comps/9/1899-1900/1899-1900-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1899-1900/1899-1900-Premier-League-Stats,18,,,,9,F
1898-1899,https://fbref.com/en/comps/9/1898-1899/1898-1899-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1898-1899/1898-1899-Premier-League-Stats,18,,,,9,F
1897-1898,https://fbref.com/en/comps/9/1897-1898/1897-1898-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1897-1898/1897-1898-Premier-League-Stats,16,,,,9,F
1896-1897,https://fbref.com/en/comps/9/1896-1897/1896-1897-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1896-1897/1896-1897-Premier-League-Stats,16,,,,9,F
1895-1896,https://fbref.com/en/comps/9/1895-1896/1895-1896-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1895-1896/1895-1896-Premier-League-Stats,16,,,,9,F
1894-1895,https://fbref.com/en/comps/9/1894-1895/1894-1895-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1894-1895/1894-1895-Premier-League-Stats,16,,,,9,F
1893-1894,https://fbref.com/en/comps/9/1893-1894/1893-1894-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1893-1894/1893-1894-Premier-League-Stats,16,,,,9,F
1892-1893,https://fbref.com/en/comps/9/1892-1893/1892-1893-Premier-League-Stats,Football League First Division,https://fbref.com/en/comps/9/1892-1893/1892-1893-Premier-League-Stats,16,,,,9,F
1891-1892,https://fbref.com/en/comps/9/1891-1892/1891-1892-Premier-League-Stats,Football League,https://fbref.com/en/comps/9/1891-1892/1891-1892-Premier-League-Stats,14,,,,9,F
1890-1891,https://fbref.com/en/comps/9/1890-1891/1890-1891-Premier-League-Stats,Football League,https://fbref.com/en/comps/9/1890-1891/1890-1891-Premier-League-Stats,12,,,,9,F
1889-1890,https://fbref.com/en/comps/9/1889-1890/1889-1890-Premier-League-Stats,Football League,https://fbref.com/en/comps/9/1889-1890/1889-1890-Premier-League-Stats,12,,,,9,F
1888-1889,https://fbref.com/en/comps/9/1888-1889/1888-1889-Premier-League-Stats,Football League,https://fbref.com/en/comps/9/1888-1889/1888-1889-Premier-League-Stats,12,,,,9,F